media,media_brand,terpene,terpene_pct,temperature,viscosity,timestamp,original_filename
Live Rosin,Abundant,Jenny Kush/Decarb Live Rosin,,23.8,285500.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Abundant,Jenny Kush/Decarb Live Rosin,,29.9,110666.66666666667,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Abundant,Jenny Kush/Decarb Live Rosin,,39.6,24553.333333333332,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Abundant,Jenny Kush/Decarb Live Rosin,,49.5,1192.3333333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Abundant,Jenny Kush/Decarb Live Rosin,,59.3,496.3333333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Abundant,Jenny Kush/Decarb Live Rosin,,69.1,238.4,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Abundant,Rosin Bakers Dozen/Decarb Live Rosin,,23.8,259300.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Abundant,Rosin Bakers Dozen/Decarb Live Rosin,,29.9,78107.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Abundant,Rosin Bakers Dozen/Decarb Live Rosin,,39.6,14523.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Abundant,Rosin Bakers Dozen/Decarb Live Rosin,,49.5,806.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Abundant,Rosin Bakers Dozen/Decarb Live Rosin,,59.3,119.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Abundant,Rosin Bakers Dozen/Decarb Live Rosin,,69.1,51.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Canamo,Wedding Cake/ Decarb Live Rosin,,23.8,121441.3,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Canamo,Wedding Cake/ Decarb Live Rosin,,29.9,65880.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Canamo,Wedding Cake/ Decarb Live Rosin,,39.6,12226.666666666666,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Canamo,Wedding Cake/ Decarb Live Rosin,,49.5,2788.6666666666665,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Canamo,Wedding Cake/ Decarb Live Rosin,,59.3,172.33333333333334,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Canamo,Wedding Cake/ Decarb Live Rosin,,69.1,50.696666666666665,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Copperstate,First Class Funk/Decarb Live Rosin,,25.0,26990.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Copperstate,First Class Funk/Decarb Live Rosin,,30.0,10691.333333333334,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Copperstate,First Class Funk/Decarb Live Rosin,,35.0,5175.333333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Copperstate,First Class Funk/Decarb Live Rosin,,45.0,873.0333333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Copperstate,First Class Funk/Decarb Live Rosin,,55.0,184.5,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,Cresco,Banana Foster/ Live Resin,,25.0,120133.33333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,Cresco,Bulk Cookie Dog x wactomelon/Live Resin,,25.46666666666667,18866.666666666668,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,Cresco,Bulk Cookie Dog x wactomelon/Live Resin,,30.2,8424.333333333334,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,Cresco,Bulk Cookie Dog x wactomelon/Live Resin,,40.53333333333333,1002.6666666666666,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,Cresco,Bulk Cookie Dog x wactomelon/Live Resin,,50.13333333333333,31.39,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Drip,Jack Herer/D9 Distillate,,25.46666666666667,1993333.3333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Drip,Jack Herer/D9 Distillate,,30.2,508300.0,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Drip,Jack Herer/D9 Distillate,,40.53333333333333,53816.666666666664,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Drip,Jack Herer/D9 Distillate,,50.13333333333333,8308.0,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Drip,Jack Herer/D9 Distillate,,59.4,1958.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Unknown,Everdrop,Maui Wowie/Liquid Diamond,,23.8,2688000.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Unknown,Everdrop,Maui Wowie/Liquid Diamond,,29.9,894300.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Unknown,Everdrop,Maui Wowie/Liquid Diamond,,39.6,79430.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Unknown,Everdrop,Maui Wowie/Liquid Diamond,,49.5,11030.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Unknown,Everdrop,Maui Wowie/Liquid Diamond,,59.3,1704.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Unknown,Everdrop,Maui Wowie/Liquid Diamond,,69.1,86.33,2025-03-13T17:09:33.817107,Media Database V3 2023
Distillate,Flow,Apricot/Distillate,,25.0,96800.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Distillate,Flow,Apricot/Distillate,,70.0,37.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Flow,Apricot/Live Rosin,,25.0,28300.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Flow,Apricot/Live Rosin,,70.0,12.6,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,Great White Labs,Live Resin,,25.0,5731.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,Great White Labs,Live Resin,,70.0,10.026666666666666,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Great White Labs,Rainbow Sherbert/ D9 Distillate,,25.0,76840.0,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Great White Labs,Rainbow Sherbert/ D9 Distillate,,70.0,115.73333333333335,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Great White Labs,Sweet Strawberry Cloudburst/ D9 Distillate,,25.0,88583.33333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Great White Labs,Sweet Strawberry Cloudburst/ D9 Distillate,,70.0,56.24333333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Great White Labs,Watermelon Splash Cloudburst/ D9 Distillate,,25.0,42266.666666666664,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Great White Labs,Watermelon Splash Cloudburst/ D9 Distillate,,70.0,103.06666666666666,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Great White Labs Fruit Punch,Fruit Punch/D9 Distillate,,25.0,86573.33333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Great White Labs Fruit Punch,Fruit Punch/D9 Distillate,,70.0,90.33999999999999,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Grow Sciences,GMO Cookies/ Live Rosin,,25.0,577866.6666666666,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Grow Sciences,GMO Cookies/ Live Rosin,,70.0,175.96666666666667,2025-03-13T17:09:33.817107,Media Database V3 2023
Unknown,Grow Sciences,Gary Payton/Decarb Live Hash Rosin,,23.8,9542.666666666666,2025-03-13T17:09:33.817107,Media Database V3 2023
Unknown,Grow Sciences,Gary Payton/Decarb Live Hash Rosin,,29.9,4307.333333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
Unknown,Grow Sciences,Gary Payton/Decarb Live Hash Rosin,,39.6,110.56666666666668,2025-03-13T17:09:33.817107,Media Database V3 2023
Unknown,Grow Sciences,Gary Payton/Decarb Live Hash Rosin,,49.5,76.38999999999999,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Grow Sciences,Live Rosin,,25.0,780566.6666666666,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Grow Sciences,Live Rosin,,70.0,591.3000000000001,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Hangar 10,Wilson Zero/Decarb Live Rosin,,23.8,31010.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Hangar 10,Wilson Zero/Decarb Live Rosin,,29.9,15346.666666666666,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Hangar 10,Wilson Zero/Decarb Live Rosin,,39.6,2815.3333333333335,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Hangar 10,Wilson Zero/Decarb Live Rosin,,49.5,66.62,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Hangar 10,Wilson Zero/Decarb Live Rosin,,59.3,8.546666666666667,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,MPX,D9 Distillate,,23.8,462366.6666666667,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,MPX,D9 Distillate,,29.9,94986.66666666667,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,MPX,D9 Distillate,,39.6,14043.333333333334,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,MPX,D9 Distillate,,49.5,2645.6666666666665,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,MPX,D9 Distillate,,59.3,551.0666666666666,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,MPX,D9 Distillate,,69.1,165.1,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,MPX,Dark Night /Live Resin,,23.8,240500.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,MPX,Dark Night /Live Resin,,29.9,82870.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,MPX,Dark Night /Live Resin,,39.6,12986.666666666666,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,MPX,Dark Night /Live Resin,,49.5,2651.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,MPX,Dark Night /Live Resin,,59.3,141.26666666666668,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,MPX,Dark Night /Live Resin,,69.1,13.56,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,MPX,Live Resin,,23.8,4005.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,MPX,Live Resin,,29.9,1967.3333333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,MPX,Live Resin,,39.6,528.8333333333334,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,MPX,Live Resin,,49.5,164.46666666666667,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,MPX,Live Resin,,59.3,42.63999999999999,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,MPX,Live Resin,,69.1,10.243333333333334,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Nasha Hash,Bdog120A/Decarb Live Rosin,,25.3,27356.666666666668,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Nasha Hash,Bdog245A/Decarb Live Rosin,,25.46666666666667,28260.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Nasha Hash,Bdog245A/Decarb Live Rosin,,30.2,12713.333333333334,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Nasha Hash,Bdog245A/Decarb Live Rosin,,40.53333333333333,2774.633333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Nasha Hash,Bdog245A/Decarb Live Rosin,,50.13333333333333,182.6,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Nasha Hash,GMOB 120A/Decarb Live Rosin,,25.3,39476.666666666664,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Nasha Hash,GMOB 245A/Decarb Live Rosin,,23.8,36156.666666666664,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Nasha Hash,GMOB 245A/Decarb Live Rosin,,29.9,15876.666666666666,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Nasha Hash,GMOB 245A/Decarb Live Rosin,,39.6,3058.6666666666665,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Nasha Hash,GMOB 245A/Decarb Live Rosin,,49.5,115.56666666666666,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Nasha Hash,GMOB 245A/Decarb Live Rosin,,59.3,10.549999999999999,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Nasha Hash,GMOB 245A/Decarb Live Rosin,,69.1,5.576666666666667,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Nasha Hash,Papaya 120A/Decarb Live Rosin,,25.3,46936.666666666664,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Nasha Hash,Papaya 245A/Decarb Live Rosin,,25.46666666666667,34186.666666666664,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Nasha Hash,Papaya 245A/Decarb Live Rosin,,50.13333333333333,224.4333333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Nasha Hash,Qchem 245A/Decarb Live Rosin,,23.8,32593.333333333332,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Nasha Hash,Qchem 245A/Decarb Live Rosin,,29.9,10113.333333333334,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Nasha Hash,Qchem 245A/Decarb Live Rosin,,39.6,472.3,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Nasha Hash,Qchem 245A/Decarb Live Rosin,,49.5,175.26666666666665,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Nasha Hash,Qchem 245A/Decarb Live Rosin,,59.3,15.916666666666666,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Nasha Hash,Qchem 245A/Decarb Live Rosin,,69.1,8.716666666666667,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Nasha Hash,Rambutan 245A/Decarb Live Rosin,,25.46666666666667,5249.333333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Nasha Hash,Rambutan 245A/Decarb Live Rosin,,50.13333333333333,144.23333333333335,2025-03-13T17:09:33.817107,Media Database V3 2023
Unknown,Nasha Hash,Strawnana 120A,,25.3,143433.33333333334,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Nasha Hash,Strawnana 245A/Decarb Live Rosin,,25.46666666666667,151600.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Nasha Hash,Strawnana 245A/Decarb Live Rosin,,50.13333333333333,399.5,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,Noir,Tangelo/ Live Resin,,25.0,208366.66666666666,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,PAX,Jack Herer/ D9 Distillate,,25.0,180633.33333333334,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,PAX,Jack Herer/ D9 Distillate,,70.0,22.106666666666666,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Papa & Barkely,#15 Matt DB x GN x A/Decarb Live Rosin,,23.8,10976.666666666666,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Papa & Barkely,#15 Matt DB x GN x A/Decarb Live Rosin,,29.9,9190.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Papa & Barkely,#15 Matt DB x GN x A/Decarb Live Rosin,,39.6,2233.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Papa & Barkely,#15 Matt DB x GN x A/Decarb Live Rosin,,49.5,98.58666666666666,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Papa & Barkely,#15 Matt DB x GN x A/Decarb Live Rosin,,59.3,30.346666666666668,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Papa & Barkely,#15 Matt DB x GN x A/Decarb Live Rosin,,69.1,13.113333333333335,2025-03-13T17:09:33.817107,Media Database V3 2023
Liquid Diamonds,Raw Garden,Liquid Diamonds,,23.8,258466.66666666666,2025-03-13T17:09:33.817107,Media Database V3 2023
Liquid Diamonds,Raw Garden,Liquid Diamonds,,29.9,85903.33333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
Liquid Diamonds,Raw Garden,Liquid Diamonds,,39.6,10401.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Liquid Diamonds,Raw Garden,Liquid Diamonds,,49.5,1847.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Liquid Diamonds,Raw Garden,Liquid Diamonds,,59.3,140.4,2025-03-13T17:09:33.817107,Media Database V3 2023
Liquid Diamonds,Raw Garden,Liquid Diamonds,,69.1,67.49333333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,Raw Garden,Refined Live Resin,,23.8,187333.33333333334,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,Raw Garden,Refined Live Resin,,29.9,78846.66666666667,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,Raw Garden,Refined Live Resin,,39.6,12146.666666666666,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,Raw Garden,Refined Live Resin,,49.5,2349.6666666666665,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,Raw Garden,Refined Live Resin,,59.3,112.3,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,Raw Garden,Refined Live Resin,,69.1,32.78666666666667,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,Select,Desert Star/Live Resin,,25.0,5059000.0,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Stiizy,D9 Distillate,,25.0,231266.66666666666,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Stiizy,D9 Distillate,,35.0,29263.333333333332,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Stiizy,D9 Distillate,,45.0,4868.333333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Stiizy,D9 Distillate,,55.0,236.73333333333335,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Stiizy,D9 Distillate,,65.0,72.72333333333334,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Stiizy,D9 Distillate,,70.0,34.44333333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Timeless,Donny Burger/Live Rosin,,23.8,25820.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Timeless,Donny Burger/Live Rosin,,29.9,9483.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Timeless,Donny Burger/Live Rosin,,39.6,1708.5,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Timeless,Donny Burger/Live Rosin,,49.5,427.7,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Timeless,Donny Burger/Live Rosin,,59.3,133.15,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Timeless,Donny Burger/Live Rosin,,69.1,51.14,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Timeless,Gauva Papaya/Live Rosin,,23.8,20120.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Timeless,Gauva Papaya/Live Rosin,,29.9,7743.5,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Timeless,Gauva Papaya/Live Rosin,,39.6,1491.5,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Timeless,Gauva Papaya/Live Rosin,,49.5,379.95000000000005,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Timeless,Gauva Papaya/Live Rosin,,59.3,123.25,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Timeless,Gauva Papaya/Live Rosin,,69.1,47.739999999999995,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Timeless,Tropicana Banana/ Live Rosin,,23.8,23943.333333333332,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Timeless,Tropicana Banana/ Live Rosin,,29.9,9723.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Timeless,Tropicana Banana/ Live Rosin,,39.6,2108.3333333333335,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Timeless,Tropicana Banana/ Live Rosin,,49.5,598.6333333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Timeless,Tropicana Banana/ Live Rosin,,59.3,211.53333333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Timeless,Tropicana Banana/ Live Rosin,,69.1,89.55333333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,Trumed,Live Resin,,25.46666666666667,53580.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,Trumed,Live Resin,,30.2,20053.333333333332,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,Trumed,Live Resin,,40.53333333333333,4212.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,Trumed,Live Resin,,50.13333333333333,971.0333333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Resin,Trumed,Live Resin,,59.4,247.4,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Trumed,Live Rosin,,25.46666666666667,56780.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Trumed,Live Rosin,,30.2,22360.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Trumed,Live Rosin,,40.53333333333333,4386.333333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Trumed,Live Rosin,,50.13333333333333,1029.3333333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Trumed,Live Rosin,,59.4,313.96666666666664,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Vapen,D9 Distillate,,23.8,36866.666666666664,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Vapen,D9 Distillate,,29.9,13400.0,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Vapen,D9 Distillate,,39.6,2044.6666666666667,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Vapen,D9 Distillate,,49.5,435.1333333333334,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Vapen,D9 Distillate,,59.3,132.16666666666669,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Vapen,D9 Distillate,,69.1,41.626666666666665,2025-03-13T17:09:33.817107,Media Database V3 2023
